Timestamp,Memory Usage (MB),Power Usage (W)
1733747003.1808245,2781.0,65.91
1733747003.2544549,2785.0,65.91
1733747003.3281746,2785.0,68.17
1733747003.3999565,2787.0,70.23
1733747003.471308,2787.0,72.97
1733747003.539832,2787.0,72.97
1733747003.611258,2787.0,75.38
1733747003.6771154,2787.0,78.72
1733747003.7431574,2787.0,78.72
1733747003.8126025,2787.0,81.54
1733747003.8800695,2787.0,84.96
1733747003.9462214,2787.0,84.96
1733747004.0161018,2787.0,87.79
1733747004.082127,2787.0,91.06
1733747004.14939,2809.0,91.06
1733747004.2192636,2809.0,93.11
1733747004.2982898,2809.0,94.84
1733747004.3695896,2809.0,95.04
1733747004.441852,2809.0,95.04
1733747004.5113275,2809.0,94.93
1733747004.5826898,2809.0,95.17
1733747004.6548917,2809.0,95.17
1733747004.7223244,2809.0,94.67
1733747004.7921925,2809.0,94.75
1733747004.8636546,2809.0,94.59
1733747004.9338279,2809.0,94.59
1733747005.0027032,2809.0,94.01
1733747005.072225,2809.0,94.54
1733747005.1401806,2809.0,94.54
1733747005.2100785,2809.0,93.94
1733747005.2803948,2809.0,94.44
1733747005.3471222,2809.0,94.44
1733747005.4187293,2809.0,94.33
1733747005.4892118,2809.0,94.9
1733747005.5561047,2809.0,94.9
1733747005.6246088,2809.0,94.33
1733747005.6952128,2809.0,94.57
1733747005.762593,2809.0,94.97
1733747005.8312697,2809.0,94.97
1733747005.9015205,2809.0,94.58
1733747005.967221,2809.0,95.05
1733747006.036084,2809.0,95.05
1733747006.1052306,2809.0,95.14
1733747006.17124,2809.0,95.03
1733747006.239537,2809.0,95.03
1733747006.3069139,2809.0,95.11
1733747006.3732913,2809.0,95.0
1733747006.4419491,2809.0,95.0
1733747006.5110948,2809.0,94.99
1733747006.5790162,2809.0,95.09
1733747006.6498122,2809.0,95.09
1733747006.7226894,2809.0,95.64
1733747006.7907643,2809.0,95.03
1733747006.8616133,2809.0,94.95
1733747006.9327986,2809.0,94.95
1733747007.0000844,2809.0,94.79
1733747007.0702345,2809.0,94.93
1733747007.1408064,2809.0,94.93
1733747007.2082963,2809.0,94.89
1733747007.2785845,2809.0,94.96
1733747007.349174,2809.0,94.96
1733747007.4183788,2809.0,95.06
1733747007.4890137,2809.0,94.86
1733747007.5601504,2809.0,94.86
1733747007.6280966,2809.0,94.45
1733747007.6994114,2809.0,94.36
1733747007.7701793,2809.0,94.57
1733747007.8385262,2809.0,94.57
1733747007.9084618,2809.0,94.49
1733747007.9778166,2809.0,95.27
1733747008.0458927,2809.0,95.27
1733747008.1163208,2809.0,95.18
1733747008.1880229,2809.0,95.06
1733747008.2562795,2809.0,95.06
1733747008.3279824,2809.0,94.58
1733747008.4007344,2809.0,94.44
1733747008.470355,2809.0,94.62
1733747008.5423343,2809.0,94.62
1733747008.614463,2809.0,94.38
1733747008.6852195,2809.0,95.11
1733747008.7574582,2809.0,95.11
1733747008.8291533,2809.0,94.25
1733747008.898798,2809.0,94.18
1733747008.9726093,2809.0,94.56
1733747009.0422301,2809.0,94.56
1733747009.1128037,2809.0,93.94
1733747009.1853695,2809.0,94.28
1733747009.2558942,2809.0,94.28
1733747009.325317,2809.0,93.4
1733747009.397142,2809.0,94.33
1733747009.4705076,2809.0,94.02
1733747009.5410135,2809.0,94.02
1733747009.6151865,2809.0,93.73
1733747009.6833427,2809.0,94.1
1733747009.7560697,2809.0,94.1
1733747009.8285406,2809.0,93.19
1733747009.9015162,2809.0,93.83
1733747009.9755137,2809.0,94.07
1733747010.0473108,2809.0,94.07
1733747010.1168768,2809.0,93.74
1733747010.1903303,2809.0,93.94
1733747010.2617972,2809.0,93.24
1733747010.3306615,2809.0,93.24
1733747010.4010553,2809.0,93.8
1733747010.4702458,2809.0,93.79
1733747010.5403862,2809.0,93.79
1733747010.614291,2809.0,93.72
1733747010.6825507,2809.0,94.15
1733747010.752651,2809.0,94.15
1733747010.8242664,2809.0,93.15
1733747010.893199,2809.0,94.3
1733747010.963051,2809.0,94.1
1733747011.0348103,2809.0,94.1
1733747011.1023118,2809.0,93.69
1733747011.1726556,2809.0,94.1
1733747011.2435298,2809.0,94.1
1733747011.3124788,2809.0,93.96
1733747011.3831663,2809.0,94.6
1733747011.4533858,2809.0,94.6
1733747011.522657,2809.0,94.03
1733747011.593128,2809.0,93.99
1733747011.6654882,2809.0,93.92
1733747011.7331376,2809.0,93.92
1733747011.8069131,2809.0,93.44
1733747011.8777823,2809.0,94.57
1733747011.9453728,2809.0,94.57
1733747012.0164635,2809.0,93.96
1733747012.0863984,2809.0,94.35
1733747012.1561966,2809.0,94.35
1733747012.2286465,2809.0,93.81
1733747012.3009021,2809.0,93.53
1733747012.3699968,2809.0,93.85
1733747012.4388201,2809.0,93.85
1733747012.5090723,2809.0,93.56
1733747012.5765424,2809.0,94.53
1733747012.6486194,2809.0,94.53
1733747012.7201934,2809.0,93.96
1733747012.7910182,2809.0,94.09
1733747012.8600185,2809.0,93.94
1733747012.930502,2809.0,93.94
1733747012.9981785,2809.0,93.48
1733747013.0694191,2809.0,93.87
1733747013.1389174,2809.0,93.87
1733747013.2075157,2809.0,93.57
1733747013.2768233,2809.0,94.49
1733747013.348941,2809.0,94.49
1733747013.4173973,2809.0,94.17
1733747013.4881258,2809.0,94.11
1733747013.5582228,2809.0,94.11
1733747013.6261504,2809.0,93.85
1733747013.7005324,2809.0,93.55
1733747013.769427,2809.0,94.02
1733747013.8361092,2809.0,94.02
1733747013.9062924,2809.0,93.82
1733747013.976614,2809.0,94.51
1733747014.0435948,2809.0,94.51
1733747014.1144972,2809.0,94.35
1733747014.1834445,2809.0,94.34
1733747014.2504692,2809.0,94.34
1733747014.3191202,2809.0,93.75
1733747014.391653,2809.0,93.88
1733747014.458242,2809.0,93.9
1733747014.5270493,2809.0,93.9
1733747014.5974007,2809.0,93.86
1733747014.664415,2809.0,94.31
1733747014.7327251,2809.0,94.31
1733747014.8025358,2809.0,94.25
1733747014.8694506,2809.0,94.32
1733747014.93781,2809.0,94.32
1733747015.010065,2809.0,94.47
1733747015.0771844,2809.0,94.39
1733747015.1466177,2809.0,94.39
1733747015.2178419,2809.0,94.49
1733747015.2856748,2809.0,94.22
1733747015.3550663,2809.0,94.22
1733747015.4255419,2809.0,94.52
1733747015.4923902,2809.0,94.3
1733747015.5594337,2809.0,94.6
1733747015.630325,2809.0,94.6
1733747015.6963453,2809.0,94.41
1733747015.7643764,2809.0,94.62
1733747015.8333232,2809.0,94.62
1733747015.8999422,2809.0,94.58
1733747015.968507,2809.0,94.62
1733747016.04259,2809.0,94.62
1733747016.1111856,2809.0,94.68
1733747016.1824622,2809.0,94.66
1733747016.253022,2809.0,94.66
1733747016.322395,2809.0,94.18
1733747016.3945813,2809.0,94.41
1733747016.467677,2809.0,95.11
1733747016.5391846,2809.0,95.11
1733747016.6117122,2809.0,94.85
1733747016.6828578,2809.0,95.13
1733747016.7499697,2809.0,95.13
1733747016.8246043,2809.0,94.49
1733747016.893197,2809.0,94.42
1733747016.9608693,2809.0,94.63
1733747017.0330937,2809.0,94.63
1733747017.1014233,2809.0,94.26
1733747017.1709757,2810.0,94.69
1733747017.245667,2809.0,94.69
1733747017.3145266,2809.0,94.36
1733747017.385754,2809.0,94.98
1733747017.45751,2809.0,94.44
1733747017.5277574,2809.0,94.44
1733747017.5994327,2809.0,94.08
1733747017.673677,2809.0,94.66
1733747017.7439637,2809.0,94.66
1733747017.8159328,2809.0,94.31
1733747017.889206,2809.0,95.06
1733747017.959601,2809.0,94.44
1733747018.032033,2809.0,94.44
1733747018.1047785,2809.0,94.31
1733747018.1749477,2809.0,94.63
1733747018.2479293,2809.0,94.63
1733747018.319365,2809.0,93.78
1733747018.389157,2809.0,94.05
1733747018.4628084,2809.0,93.89
1733747018.5318022,2809.0,93.89
1733747018.602176,2809.0,94.14
1733747018.6760497,2809.0,94.63
1733747018.7481086,2809.0,94.63
1733747018.8202813,2809.0,93.5
1733747018.8958142,2809.0,93.74
1733747018.9650218,2809.0,93.75
1733747019.0370827,2809.0,93.75
1733747019.108032,2809.0,94.09
1733747019.1775253,2809.0,94.47
1733747019.2488678,2809.0,94.47
1733747019.3221676,2809.0,93.49
1733747019.392482,2809.0,94.27
1733747019.4661775,2809.0,94.11
1733747019.5367222,2809.0,94.11
1733747019.6044014,2809.0,94.16
1733747019.6767945,2809.0,94.58
1733747019.7480245,2809.0,94.58
1733747019.8157825,2809.0,93.7
1733747019.8874316,2809.0,94.65
1733747019.9606302,2809.0,94.24
1733747020.030641,2809.0,94.24
1733747020.099851,2809.0,94.02
1733747020.1711707,2809.0,94.52
1733747020.2386265,2809.0,94.52
1733747020.3094962,2809.0,93.97
1733747020.3781202,2809.0,95.01
1733747020.445712,2809.0,95.01
1733747020.5134814,2809.0,94.47
1733747020.5851057,2809.0,94.76
1733747020.6531496,2809.0,94.76
1733747020.725071,2809.0,94.19
1733747020.7945347,2809.0,93.96
1733747020.8623822,2809.0,94.59
1733747020.9323878,2809.0,94.59
1733747021.0031066,2809.0,94.16
1733747021.0716255,2809.0,94.72
1733747021.141975,2809.0,94.72
1733747021.2125537,2809.0,94.73
1733747021.2810438,2809.0,94.49
1733747021.3550196,2809.0,94.49
1733747021.4573896,2809.0,93.14
1733747021.5271316,2809.0,93.14
1733747021.5972593,2809.0,93.25
1733747021.665984,2809.0,93.24
1733747021.7337844,2809.0,93.24
1733747021.8043177,2809.0,93.66
1733747021.8736942,2809.0,93.94
1733747021.9431362,2809.0,93.94
1733747022.0156407,2809.0,93.59
1733747022.0830295,2809.0,93.67
1733747022.1523442,2809.0,93.67
1733747022.223504,2809.0,92.89
1733747022.2911706,2809.0,93.21
1733747022.3593488,2809.0,93.08
1733747022.4313917,2809.0,93.08
1733747022.5015624,2809.0,93.78
1733747022.5751643,2809.0,94.64
1733747022.648313,2809.0,94.64
1733747022.7168653,2809.0,94.12
1733747022.7906187,2809.0,94.27
1733747022.86424,2809.0,94.44
1733747022.9333951,2809.0,94.44
1733747023.005074,2809.0,93.87
1733747023.0753284,2809.0,94.37
1733747023.1453369,2809.0,94.37
1733747023.2178495,2809.0,93.89
1733747023.2894278,2809.0,94.56
1733747023.359124,2809.0,94.18
1733747023.431106,2809.0,94.18
1733747023.501424,2809.0,94.06
1733747023.5720103,2809.0,94.39
1733747023.6473813,2810.0,94.39
1733747023.7166376,2810.0,93.31
1733747023.7865124,2810.0,94.37
1733747023.8622267,2810.0,93.77
1733747023.9319463,2809.0,93.77
1733747024.0026312,2809.0,93.64
1733747024.0758781,2809.0,94.2
1733747024.1448796,2809.0,94.2
1733747024.2149048,2809.0,93.54
1733747024.2881482,2810.0,94.08
1733747024.35921,2810.0,93.81
1733747024.4357202,2809.0,93.81
1733747024.5102286,2809.0,94.16
